SEROTYPE	ORGANISM	SEROGROUP	SUBSPECIES	O_ANTIGENS	H_PHASE_1	H_PHASE_2	X997_CHECK	FATE
Salmonella Bantam (old serotype)	sal	E1					o	Meleagridis
Salmonella Baragwanath (old serotype)	sal	C2,3	II	6,8	m,t	1,5	o	
Salmonella Bardo	sal	C2,3		8	e,h	1,2		
Salmonella Bareilly	sal	C1,4		6,7,.14.	y	1,5		
Salmonella Bargny	sal	C2,3		8,.20.	i	1,5		
Salmonella Barmbek	sal	I		16	d	z6		
Salmonella Barranquilla	sal	I		16	d	e,n,x		
Salmonella Barry	sal	54		54	z10	e,n,z15		
Salmonella Basel (old serotype)	sal	58	II	58	l,z13,z28	1,5	o	
Salmonella Basingstoke	sal	D2		9,46	z35	e,n,z15		
Salmonella Bassa	sal	C2,3		6,8	m,t	-		
Salmonella Bassadji	sal	M		28	r	1,6		
Salmonella Batavia (old serotype)	sal	E1					o	Lexington
Salmonella Batonrouge	sal	57		57	b	e,n,z15		
Salmonella Battle	sal	I		16	l,z13,z28	1,6		
Salmonella Bazenheid	sal	C2,3		8,.20.	z10	1,2		
Salmonella Be	sal	C2,3		8,.20.	a	-		
Salmonella Beaudesert	sal	H		[1],6,14,[25]	e,h	1,7		
Salmonella Bechuana (old serotype)	sal	B	II	.1.,4,12,.27.	g,[m],t	[1,5]	o	
Salmonella Bedford	sal	E4		1,3,19	l,z13,z28	e,n,z15		
Salmonella Belem	sal	C2,3		6,8	c	e,n,x		
Salmonella Belfast	sal	C2,3		6,8	c	1,7		
Salmonella Bellevue	sal	C2,3		8	z4,z23	1,7		
Salmonella Bellville (old serotype)	sal	I	II	16	e,n,x	1,(5),7	o	
Salmonella Beloha (old serotype)	sal	K	II	18	z36	-	o	
Salmonella Benfica	sal	E1		3,10	b	e,n,x		
Salmonella Benguella	sal	R		40	b	z6		
Salmonella Benin	sal	D2		9,46	y	1,7		
Salmonella Benue	sal	C2,3		6,8	y	l,w		
Salmonella Bere	sal	X		47	z4,z23	z6		
Salmonella Bergedorf	sal	D2		9,46	e,h	1,2		
Salmonella Bergen	sal	X		47	i	e,n,z15		
Salmonella Bergues	sal	51		51	z10	1,5		
Salmonella Berkeley	sal	U		43	a	1,5		
Salmonella Berlin	sal	J		17	d	1,5		
Salmonella Bern (old serotype)	sal	R	IV	40	z4,z32	-	o	
Salmonella Berta	sal	D1		.1.,9,12	f,g,t	-		
Salmonella Bessi	sal	E1		3,10	i	e,n,x		
Salmonella Bethune	sal	E4		1,3,19	k	1,7		
Salmonella Betioky (old serotype)	sal	59	II	59	k	(z)	o	
Salmonella Biafra	sal	E1		3,10	z10	z6		
Salmonella Bida	sal	E4		1,3,19	c	1,6		
Salmonella Bietri	sal	N		30	y	1,5		
Salmonella Bignona	sal	J		17	b	e,n,z15		
Salmonella Bijlmer	sal	R		.1.,40	g,m	-		
Salmonella Bilthoven (old serotype)	sal	X	II	47	a	[1,5]	o	
Salmonella Bilu	sal	E1		(1),3,10,(19)	f,g,t	1,(2),7		
Salmonella Binche	sal	X		47	z4,z23	l,w		
Salmonella Bingerville	sal	X		47	z35	e,n,z15		
Salmonella Binningen	sal	W		45	g,s,t	-		
Salmonella Binza (old serotype)	sal	E2		3,.15.	y	1,5	o	
Salmonella Birkenhead	sal	C1,4		6,7	c	1,6		
Salmonella Birmingham	sal	E1		3,10	d	l,w		
Salmonella Bispebjerg	sal	B		.1.,4,[5],12	a	e,n,x		
Salmonella Bissau	sal	B		4,12	c	e,n,x		
Salmonella Blankenese (old serotype)	sal	D1	II	.1.,9,12	b	z6	o	
Salmonella Bleadon (old serotype)	sal	J	II	17	g,t	[e,n,x,z15]	o	
Salmonella Blegdam	sal	D1		9,12	g,m,q	-		
Salmonella Blijdorp	sal	H		1,6,14,25	c	1,5		
Salmonella Blitta	sal	X		47	y	e,n,x		
Salmonella Blockley	sal	C2,3		6,8	k	1.5		
Salmonella Bloemfontein (old serotype)	sal	C1,4	II	6,7	b	[e,n,x]:z42	o	
Salmonella Bloomsbury	sal	E1		3,10	g,t	1,5		
Salmonella Blukwa	sal	K		18	z4,z24	-		
Salmonella Bobo	sal	V		44	d	1,5		
Salmonella Bochum	sal	B		4,[5],12	r	l,w		
Salmonella Bockenheim (old serotype)	sal	53	IV	1,53	z36,z38	-	o	
Salmonella Bodjonegoro	sal	N		30	z4,z24	-		
Salmonella Boecker	sal	H		[1],6,14,[25]	l,v	1,7		
Salmonella Bofflens	sal	S		41	z4,z23	1,7		
Salmonella Bokanjac	sal	M		28	b	1,7		
Salmonella Boksburg (old serotype)	sal	R	II	40	g,m,s,t	e,n,x	o	
Salmonella Bolama	sal	V		44	z	e,n,x		
Salmonella Bolombo	sal	E1		3,10	z38	[z6]		
Salmonella Bolton	sal	E1		3,10	y	e,n,z15		
Salmonella Bonaire (old serotype)	sal	Z	IV	50	z4,z24	-	o	
Salmonella Bonames	sal	J		17	a	1,2		
Salmonella Bonariensis	sal	C2,3		6,8	i	e,n,x		
Salmonella Bongor (old serotype)	sal	Y	V	48	z35	-	o	
Salmonella bongori	sal	V						
Salmonella Bonn	sal	C1,4		6,7	l,v	e,n,x		
Salmonella Bootle	sal	X		47	k	1,5		
Salmonella Borbeck	sal	G1,2		13,22	l,v	1,6		
Salmonella Bordeaux	sal	52		52	k	1,5		
Salmonella Bornheim (old serotype)	sal	H	VI	1,6,14,25	z10	1,(2),7	o	
Salmonella Bornum (old serotype)	sal	C1,4		6,7,.14.	z38	-	o	
Salmonella Borreze	sal	54		54	f,g,s	-		
Salmonella Borromea	sal	T		42	i	1,6		
Salmonella Bouake	sal	I		16	z	z6		
Salmonella Boulders (old serotype)	sal	G1,2	II	.1.,13,23	m,t	z,42	o	
Salmonella Bournemouth	sal	D1		9,12	e,h	1,2		
Salmonella Bousso	sal	H		1,6,14,25	z4,z23	[e,n,z15]		
Salmonella Bovismorbificans	sal	C2,3		6,8	r,[i]	1,5		
Salmonella Bracknell	sal	G1,2		13,23	b	1,6		
Salmonella Bradford	sal	B		4,12,.27.	r	1,5		
Salmonella Braenderup	sal	C1,4		6,7,.14.	e,h	e,n,z15		
Salmonella Brancaster	sal	B		.1.,4,12,.27.	z29	-		
Salmonella Brandenburg	sal	B		.1.,4,12	l,v	e,n,z15		
Salmonella Brazil	sal	I		16	a	1,5		
Salmonella Brazos	sal	K		.6.,.14.,18	a	e,n,z15		
Salmonella Brazzaville	sal	C1,4		6,7	b	1,2		
Salmonella Breda	sal	C2,3		6,8	z4,z23	e,n,x		
Salmonella Bredeney	sal	B		.1.,4,12,.27.	l,v	1,7		
Salmonella Brefet	sal	V		44	r	e,n,z15		
Salmonella Bremen (old serotype)	sal	W	II	45	g,m,s,t	e,n,x	o	
Salmonella Breukelen	sal	C2,3		6,8	l,z13,[z28]	e,n,z15		
Salmonella Brevik	sal	I		16	z	e,n,[x],z15		
Salmonella Brezany	sal	B		.1.,4,12,.27.	d	1,6		
Salmonella Brijbhumi	sal	F		11	i	1,5		
Salmonella Brikama	sal	C2,3		8,.20.	r,i	l,w		
Salmonella Brindisi	sal	F		11	c	1,6		
Salmonella Brisbane	sal	M		28	z	e,n,z15		
Salmonella Bristol	sal	G1,2		13,22	z	1,7		
Salmonella Brive	sal	T		.1.,42	r	l,w		
Salmonella Bron	sal	G1,2		13,22	g,m	[e,n,z15]		
Salmonella Bronx	sal	C2,3		6,8	c	1,6		
Salmonella Brookfield (old serotype)	sal	66	V	66	z35	-	o	
Salmonella Brooklyn	sal	I		16	l,w	e,n,x		
Salmonella Broughton	sal	E4		1,3,19	b	l,w		
Salmonella Broxbourne (old serotype)	sal	B					o	Wien
Salmonella Bruck	sal	C1,4		6,7	z	l,w		
Salmonella Brunei	sal	C2,3		8,.20.	y	1,5		
Salmonella Brunflo	sal	I		16	r	1,7		
Salmonella Bsilla	sal	C2,3		6,8	r	1,2		
Salmonella Buckeye	sal	Y		48	d	-		
Salmonella Budapest	sal	B		.1.,4,12,.27.	g,t	-		
Salmonella Buenos-aires (old serotype)	sal	C2,3					o	Bonariensis
Salmonella Bukavu	sal	R		.1.,40	l,z28	1,5		
Salmonella Bukuru	sal	C2,3		6,8	b	l,w		
Salmonella Bulawayo (old serotype)	sal	R	II	.1.,40	z	1,5	o	
Salmonella Bulgaria	sal	C2,3		6,8	y	1,6		
Salmonella Bullbay	sal	F		11	l,v	e,n,z15		
Salmonella Bulovka	sal	C1,4		6,7	z44	-		
Salmonella Bunnik (old serotype)	sal	U	II	43	z42	[1,5,7]	o	
Salmonella Burgas	sal	I		16	l,v	e,n,z15		
Salmonella Burundi	sal	S		41	a	-		
Salmonella Bury	sal	B		4,12,.27.	c	z6		
Salmonella Businga	sal	C1,4		6,7	z	e,n,z15		
Salmonella Butantan	sal	E1		3,10	b	1,5		
Salmonella Butare	sal	52		52	e,h	1,6		
Salmonella Buzu	sal	H		1,6,14,25	i	1,7		
Salmonella Caen	sal	I		16	d	l,w		
Salmonella Cairina	sal	E1		3,10	z35	z6		
Salmonella Cairns	sal	W		45	k	e,n,z15		
Salmonella Cairo (old serotype)	sal	no					o	Stanley
Salmonella Calabar	sal	E4		1,3,19	e,h	l,w		
Salmonella Caledon (old serotype)	sal	B	II	.1.,4,12,.27.	g,[m],[s],t	e,n,x	o	
Salmonella California	sal	B		4,12	g,m,t	-		
Salmonella Calvinia (old serotype)	sal	C1,4	II	6,7	a	z42	o	
Salmonella Camberene	sal	O		35	z10	1,5		
Salmonella Camberwell	sal	D1		9,12	r	1,7		
Salmonella Cambridge	sal	E2		3,.15.	e,h	l,w		
Salmonella Camdeni (old serotype)	sal	V	V	44	r	-	o	
Salmonella Campinense	sal	D1		9,12	r	e,n,z15		
Salmonella Canada	sal	B		4,12	b	1,6		
Salmonella Canary	sal	R		40	l,v	1,6		
Salmonella Canastel (old serotype)	sal	D1	II	9,12	z29	1,5	o	
Salmonella Cannobio	sal	M		28	z4,z23	1,5		
Salmonella Cannonhill	sal	E2		(1),3,.15.,(19)	y	e,n,x		
Salmonella Cannstatt	sal	E4		1,3,19	m,t	-		
Salmonella Canoga (old serotype)	sal	E3		3,.15.,.34.	g,s,t,	-	o	
Salmonella Canton	sal	54		54	z10	e,n,x		
Salmonella Cape (old serotype)	sal	C1,4	II	6,7	z6	1,7	o	
Salmonella Caracas	sal	H		[1],6,14,[25]	g,m,s	-		
Salmonella Cardiff (old serotype)	sal	C1,4		6,7	k	R1	o	Thompson
Salmonella Cardoner	sal	I		16	g,s,t	-		
Salmonella Carletonville (old serotype)	sal	P	II	38	d	[1,5]	o	
